ID,DATE,LOCATION,Governorate,CHEMICAL,PERPETRATOR,perp_recode,# OF CASUALTIES,# OF INJURIES,inj_cat,SOURCE
49,18-Apr-16,"Kafr Zita & al-Temana
",Idlib,Unspecified,Unspecified,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
50,1-Aug-16,Saraqeb,Idlib,Chlorine,Syrian Government,Syrian government,-,28,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
50,10-Aug-16,Zabdiya,Aleppo,Chlorine,Syrian government,Syrian government,3,60-65,20-100,https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
51,16-Aug-16,Marea,Aleppo,Sulfur Mustard,ISIS,ISIS,0,10,< 20,https://www.bellingcat.com/news/mena/2016/08/31/evidence-august-16-2016-chemical-attack-marea-isis/
51,16-Aug-16,Marea,Aleppo,Sulfur Mustard,ISIS,ISIS,0,10,< 20,https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
53,6-Sep-16,al-Sukkari,Aleppo,Chlorine,Syrian Government,Syrian government,2,80,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
52,6-Sep-16,al-Sukkari,Aleppo,Chlorine,Syrian government,Syrian government,2,257,"100 - 1,000",https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
54,15-Sep-16,Umm Hawsh,Aleppo,Sulfur Mustard,ISIS,ISIS,-,2,< 20,https://www.hrw.org/news/2016/09/28/syria-new-deadly-chemical-attacks
54,16-Sep-16,Umm Hawsh,Aleppo,Sulfur Mustard,Unspecified,ISIS,-,2,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1491-2017_e_.pdf
54,16-Sep-16,Umm Hawsh,Aleppo,Sulfur Mustard,ISIS,ISIS,-,2,< 20,JIM 7
54,16-Sep-16,Umm Hawsh,Aleppo,Mustard gas,ISIS,ISIS,3,3,< 20,https://www.bellingcat.com/news/mena/2016/09/21/signs-mustard-gas-use-september-isis-chemical-attacks/
55,1-Oct-16,M10 Hospital,Aleppo,Chlorine,Syrian Government,Syrian government,-,Several,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
56,18-Nov-16,"Masaken Hanano, Ard al-Hamra",Aleppo,Chlorine,Syrian government,Syrian government,-,12,< 20,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
56,18-Nov-16,"Masaken Hanano, Ard al-Hamra",Aleppo,Chlorine,Syrian government,Syrian government,-,12+,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
58,20-Nov-16,al-Sakhour,Aleppo,Chlorine,Syrian government,Syrian government,6,-,20-100,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
58,20-Nov-16,al-Sakhour,Aleppo,Chlorine,Syrian government,Syrian government,6,25,20-100,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
57,20-Nov-16,Tariq al-Bab,Aleppo,Chlorine,Syrian government,Syrian government,-,-,Unknown,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
59,20-Nov-16,Tariq al-Bab,Aleppo,Chlorine,Syrian government,Syrian government,-,At least 1,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
60,22-Nov-16,"Karm al-Qaterji, Daheert Awwad, Karm al-Jazmati",Aleppo,Chlorine,Syrian government,Syrian government,-,approx. 15,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
61,23-Nov-16,al-Jazmati and Ard al-Hamra,Aleppo,Chlorine,Syrian government,Syrian government,1,10,< 20,https://www.bellingcat.com/news/mena/2016/12/19/the-cl2-before-the-storm/
61,23-Nov-16,Karm al-Jazmati,Aleppo,Chlorine,Syrian government,Syrian government,1,13-Oct,< 20,https://www.hrw.org/news/2017/02/13/syria-coordinated-chemical-attacks-aleppo
